user_id,movie_id,rating,rating_timestamp
244,4476,2,1997-11-27 05:02:03
166,184,1,1998-02-02 05:33:16
115,1669,2,1997-12-03 17:51:28
305,621,3,1998-02-01 09:20:17
6,1245,3,1997-12-31 21:16:53
62,607,2,1997-11-12 22:07:14
200,199,5,1997-10-05 09:05:40
224,414,3,1998-02-21 23:40:57
122,10436,5,1997-11-11 17:47:39
299,562,4,1997-10-26 15:55:20
291,664,2,1997-09-21 09:24:38
308,862,4,1998-02-17 17:28:52
95,9208,2,1997-11-10 21:16:06
102,8839,2,1998-01-02 13:40:50
160,578,5,1997-10-14 20:33:05
225,9549,4,1997-11-14 20:35:27
97,9277,3,1998-01-08 05:54:20
276,25066,3,1997-09-20 21:43:25
246,765,5,1998-01-16 03:33:14
249,9361,5,1997-11-16 00:46:34
99,8012,5,1998-02-03 15:18:17
178,9437,3,1997-12-22 20:43:57
81,756,2,1997-10-11 01:58:51
59,207,5,1998-02-23 03:38:08
290,15121,5,1997-11-25 16:11:33
42,601,5,1997-12-03 00:08:07
20,4232,1,1997-11-16 08:06:24
201,377,4,1998-01-06 18:51:13
138,16388,5,1997-11-08 21:23:52
167,11967,1,1998-04-16 14:52:21
60,595,5,1997-12-28 16:30:20
241,978,2,1998-02-12 02:11:22
178,9434,4,1997-12-22 20:52:34
293,1710,3,1998-03-03 06:29:36
225,9390,5,1997-11-14 20:34:03
276,6950,3,1997-09-20 21:30:25
291,562,5,1997-09-21 09:44:51
42,268,3,1997-12-03 00:24:44
87,1701,4,1997-11-18 18:03:14
145,4584,2,1998-01-23 12:11:45
32,1624,3,1998-01-02 02:57:43
286,3034,4,1997-10-22 14:52:22
293,2320,3,1998-03-03 06:06:10
216,562,4,1997-11-22 21:37:19
166,8834,5,1998-02-02 05:35:22
250,1585,4,1997-10-29 02:01:39
160,85,5,1997-10-14 20:26:47
265,664,4,1997-09-27 00:38:34
42,280,5,1997-12-02 23:59:38
110,1813,4,1998-02-09 01:21:00
58,562,4,1998-01-09 00:15:36
271,184,4,1998-01-26 19:53:50
279,3587,3,1997-12-06 02:37:34
237,703,4,1997-11-12 23:17:21
128,11113,3,1997-11-19 19:14:55
44,218,5,1997-11-01 01:31:14
264,694,5,1998-01-30 01:05:52
194,36955,2,1997-11-14 16:24:03
72,218,5,1997-11-20 14:55:02
222,11831,5,1998-01-03 08:12:00
41,1669,3,1998-03-23 21:04:02
224,4477,3,1998-02-21 17:30:16
82,62,3,1997-11-05 22:40:29
293,10684,3,1998-03-03 06:01:24
82,49471,2,1998-01-13 18:00:02
305,595,5,1998-02-01 08:51:30
299,76,4,1998-03-10 04:07:03
57,433,3,1998-01-01 23:47:34
84,954,3,1997-12-30 03:26:03
160,62,4,1997-10-14 20:26:47
259,9802,4,1997-09-20 03:09:48
85,595,3,1997-11-13 21:25:50
121,703,3,1998-03-31 23:45:47
49,628,2,1998-02-21 13:23:25
155,9619,2,1997-11-12 21:47:41
68,9802,4,1997-10-16 03:52:19
19,8012,4,1998-01-21 20:00:40
268,364,4,1997-10-01 22:15:36
5,710,3,1997-09-30 16:14:13
305,9802,2,1998-02-01 09:07:08
44,1624,4,1997-12-31 23:52:36
254,2756,4,1998-02-03 02:26:08
298,8987,3,1998-01-07 14:28:56
66,754,4,1997-12-31 20:48:44
268,864,2,1997-09-29 14:09:34
99,5503,4,1998-01-24 22:15:38
26,686,3,1998-03-31 12:39:09
119,8834,4,1997-10-15 13:58:33
213,1891,5,1997-11-08 02:17:22
94,9691,3,1998-04-04 20:51:26
38,8834,4,1998-04-13 00:51:28
26,12123,2,1998-03-31 23:13:05
130,639,4,1997-09-25 19:42:25
256,579,4,1997-12-15 05:49:59
72,14275,4,1997-11-20 14:38:38
15,954,2,1997-11-13 21:19:17
92,37233,3,1997-09-30 21:23:57
207,2925,2,1998-01-09 22:52:23
292,85,5,1997-12-02 23:31:21
232,289,5,1998-02-27 03:20:22
251,10003,2,1998-01-31 18:42:55
224,16388,3,1998-02-21 23:35:53
181,25189,4,1997-11-08 04:13:12
259,8874,4,1997-09-20 03:05:10
305,10684,4,1998-02-01 09:00:48
161,137,5,1998-03-29 11:26:09
125,75,2,1998-04-17 18:42:39
58,2074,4,1998-01-09 00:15:36
83,578,4,1998-02-16 21:45:48
272,389,5,1997-11-13 21:05:13
303,13,5,1997-11-14 00:32:22
16,11858,1,1997-10-24 21:05:22
91,9619,2,1998-04-01 13:46:37
87,9804,4,1997-11-18 17:59:00
200,424,5,1998-01-06 23:14:18
229,8834,1,1998-04-03 19:35:42
178,1637,4,1997-12-22 21:35:55
62,1587,4,1997-11-12 22:44:46
92,1891,4,1997-09-30 21:01:11
36,9770,5,1997-12-15 03:46:21
28,765,3,1997-12-12 21:21:11
279,9495,4,1997-09-26 20:56:47
194,6950,3,1997-11-14 16:44:36
119,9390,5,1997-09-20 17:03:58
295,1598,5,1997-11-19 19:08:18
268,12123,2,1997-10-01 21:55:42
268,710,2,1997-10-01 22:16:13
66,686,4,1997-12-31 20:44:49
233,137,5,1997-11-13 04:11:04
192,2925,2,1997-12-06 00:30:43
100,2895,4,1998-03-31 20:07:48
268,10163,1,1997-10-01 22:21:41
301,680,4,1997-12-14 05:16:27
307,78,5,1997-11-11 21:29:46
234,173,3,1998-04-11 22:43:29
83,9350,4,1997-11-23 18:12:35
297,770,4,1997-09-26 02:14:50
181,27322,1,1997-11-08 04:03:34
85,702,4,1997-11-13 21:23:19
269,9603,3,1998-04-01 17:00:23
286,15121,4,1998-03-11 21:25:49
