movie_id_ml,movie_id,title,release,url
1,862,toy story,1995,http://us.imdb.com/M/title-exact?Toy%20Story%20(1995)
2,710,goldeneye,1995,http://us.imdb.com/M/title-exact?GoldenEye%20(1995)
3,5,four rooms,1995,http://us.imdb.com/M/title-exact?Four%20Rooms%20(1995)
4,8012,get shorty,1995,http://us.imdb.com/M/title-exact?Get%20Shorty%20(1995)
5,1710,copycat,1995,http://us.imdb.com/M/title-exact?Copycat%20(1995)
8,9598,babe,1995,http://us.imdb.com/M/title-exact?Babe%20(1995)
9,687,dead man walking,1995,http://us.imdb.com/M/title-exact?Dead%20Man%20Walking%20(1995)
17,755,from dusk till dawn,1996,http://us.imdb.com/M/title-exact?From%20Dusk%20Till%20Dawn%20(1996)
26,16388,the brothers mcmullen,1995,"http://us.imdb.com/M/title-exact?Brothers%20McMullen,%20The%20(1995)"
27,9737,bad boys,1995,http://us.imdb.com/M/title-exact?Bad%20Boys%20(1995)
28,568,apollo 13,1995,http://us.imdb.com/M/title-exact?Apollo%2013%20(1995)
29,414,batman forever,1995,http://us.imdb.com/M/title-exact?Batman%20Forever%20(1995)
31,8963,crimson tide,1995,http://us.imdb.com/M/title-exact?Crimson%20Tide%20(1995)
33,8068,desperado,1995,http://us.imdb.com/M/title-exact?Desperado%20(1995)
38,1642,the net,1995,"http://us.imdb.com/M/title-exact?Net,%20The%20(1995)"
42,2292,clerks,1994,http://us.imdb.com/M/title-exact?Clerks%20(1994)
43,8984,disclosure,1994,http://us.imdb.com/M/title-exact?Disclosure%20(1994)
46,20156,exotica,1994,http://us.imdb.com/M/title-exact?Exotica%20(1994)
47,522,ed wood,1994,http://us.imdb.com/M/title-exact?Ed%20Wood%20(1994)
48,14275,hoop dreams,1994,http://us.imdb.com/M/title-exact?Hoop%20Dreams%20(1994)
51,4476,legends of the fall,1994,http://us.imdb.com/M/title-exact?Legends%20of%20the%20Fall%20(1994)
54,6950,outbreak,1995,http://us.imdb.com/M/title-exact?Outbreak%20(1995)
56,680,pulp fiction,1994,http://us.imdb.com/M/title-exact?Pulp%20Fiction%20(1994)
